epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,59113.4,1.36229,0.90269,1.30711,0.70815,0.71559,0.74146,0.39754,1.58869,1.02486,1.51094,0.004456,0.004456,0.004456
58,60262.6,1.35024,0.90286,1.30859,0.71351,0.71306,0.74339,0.39931,1.59283,1.02548,1.51904,0.004357,0.004357,0.004357
59,61349,1.34657,0.88954,1.29742,0.7118,0.71282,0.73999,0.39753,1.58745,1.02282,1.50966,0.004258,0.004258,0.004258
60,62496.5,1.34411,0.88624,1.29376,0.71434,0.71363,0.74328,0.39767,1.59364,1.02137,1.51057,0.004159,0.004159,0.004159
61,63471.8,1.33689,0.88294,1.29233,0.71639,0.71078,0.74149,0.39815,1.5938,1.01856,1.51465,0.00406,0.00406,0.00406
62,64645.6,1.32266,0.87296,1.29138,0.71123,0.712,0.73954,0.39785,1.59801,1.02371,1.52725,0.003961,0.003961,0.003961
63,65712.3,1.32266,0.86123,1.28558,0.71875,0.70852,0.74339,0.39861,1.59981,1.01754,1.52663,0.003862,0.003862,0.003862
64,66955.2,1.32032,0.85499,1.28151,0.71445,0.71934,0.74564,0.39998,1.60086,1.01501,1.52359,0.003763,0.003763,0.003763
65,68071.4,1.31521,0.85531,1.28246,0.72041,0.70728,0.74273,0.39893,1.59767,1.01257,1.52537,0.003664,0.003664,0.003664
66,69081.1,1.31609,0.85543,1.27993,0.72086,0.71145,0.74427,0.39808,1.60879,1.01842,1.53325,0.003565,0.003565,0.003565
67,69976.9,1.30183,0.83964,1.26719,0.72107,0.70532,0.74231,0.397,1.61192,1.02523,1.52892,0.003466,0.003466,0.003466
68,71143.7,1.30354,0.83382,1.27081,0.71158,0.71494,0.74188,0.39709,1.61097,1.02599,1.53158,0.003367,0.003367,0.003367
69,72145.6,1.29225,0.8241,1.26271,0.72715,0.70385,0.7413,0.39775,1.61473,1.0317,1.53175,0.003268,0.003268,0.003268
70,73118.8,1.28672,0.82173,1.25911,0.72094,0.71305,0.74617,0.39929,1.61197,1.02625,1.53139,0.003169,0.003169,0.003169
71,73897.7,1.29355,0.82975,1.26426,0.71995,0.7148,0.74412,0.39878,1.61306,1.01907,1.53388,0.00307,0.00307,0.00307
72,74824.1,1.27923,0.82116,1.25581,0.71753,0.71544,0.74333,0.39762,1.61516,1.02327,1.53645,0.002971,0.002971,0.002971
73,75780.9,1.27894,0.80871,1.25563,0.72179,0.7124,0.74378,0.39744,1.61661,1.02645,1.53671,0.002872,0.002872,0.002872
74,76487.4,1.27277,0.81139,1.24982,0.71112,0.71928,0.74229,0.397,1.61438,1.02354,1.5352,0.002773,0.002773,0.002773
75,77630.6,1.26389,0.79327,1.24577,0.72015,0.7109,0.74231,0.39794,1.61418,1.02179,1.53676,0.002674,0.002674,0.002674
76,78750.1,1.25709,0.79444,1.24397,0.71764,0.71479,0.74266,0.39724,1.61733,1.02315,1.53913,0.002575,0.002575,0.002575
77,79708.2,1.25152,0.77976,1.23982,0.72255,0.71123,0.74213,0.3961,1.61952,1.02521,1.54262,0.002476,0.002476,0.002476
78,80652.9,1.24223,0.78134,1.23556,0.71315,0.71646,0.7414,0.39572,1.62176,1.0297,1.54352,0.002377,0.002377,0.002377
79,81707.8,1.2454,0.78451,1.24237,0.71054,0.71957,0.74401,0.39761,1.62314,1.03011,1.55116,0.002278,0.002278,0.002278
80,82601.6,1.23185,0.76226,1.23155,0.71376,0.71606,0.74426,0.39791,1.62424,1.03611,1.55429,0.002179,0.002179,0.002179
81,83658.3,1.23381,0.76388,1.23022,0.713,0.71439,0.74354,0.39802,1.62478,1.03544,1.5556,0.00208,0.00208,0.00208
82,84503.5,1.23285,0.76433,1.23152,0.71119,0.71458,0.74158,0.39685,1.62809,1.03363,1.55595,0.001981,0.001981,0.001981
83,85636.7,1.22716,0.76005,1.22767,0.7142,0.71065,0.7398,0.39665,1.62925,1.03727,1.5553,0.001882,0.001882,0.001882
84,86697.5,1.21885,0.74886,1.217,0.71139,0.71308,0.73797,0.39587,1.63166,1.04122,1.55898,0.001783,0.001783,0.001783
85,87892.1,1.21749,0.74852,1.21816,0.71485,0.70808,0.73808,0.39481,1.63545,1.04438,1.56255,0.001684,0.001684,0.001684
86,88923.3,1.20984,0.74489,1.21469,0.71862,0.70559,0.73832,0.39505,1.63828,1.04657,1.56551,0.001585,0.001585,0.001585
87,89832.9,1.20142,0.73468,1.21469,0.72109,0.70282,0.73756,0.39411,1.6411,1.04861,1.56995,0.001486,0.001486,0.001486
88,90687.4,1.19559,0.7339,1.20566,0.71914,0.70148,0.73657,0.39365,1.64562,1.04818,1.57528,0.001387,0.001387,0.001387
89,91517.8,1.19414,0.73225,1.20752,0.7101,0.71431,0.73731,0.39364,1.64634,1.05183,1.57628,0.001288,0.001288,0.001288
